Ticker,Asset,Role,Loss_Function,Model_1,Model_2,Observations,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Difference,DM_Statistic,Raw_p_value,Lower_Mean_Loss_Model,Holm_Adjusted_p,Significant_Raw_5pct,Significant_Holm_5pct,Preferred_Model_if_Holm_Significant
TSLA,Tesla,Stock,QLIKE,Historical Variance,GARCH,647,3.736281650096755,3.6142817411834627,0.12199990891329214,1.9308244765621918,0.0539420299984606,GARCH,0.269710149992303,False,False,No significant difference
TSLA,Tesla,Stock,QLIKE,Historical Variance,Random Forest,647,3.736281650096755,3.6555593887072257,0.08072226138952927,1.1603867294778987,0.24632003635497426,Random Forest,0.6454212789321737,False,False,No significant difference
TSLA,Tesla,Stock,QLIKE,Historical Variance,LSTM,647,3.736281650096755,3.698278624177137,0.038003025919618065,0.4355379664176392,0.6633174722210463,LSTM,0.6633174722210463,False,False,No significant difference
TSLA,Tesla,Stock,QLIKE,GARCH,Random Forest,647,3.6142817411834627,3.6555593887072257,-0.04127764752376289,-2.256286693676873,0.024386192626418883,GARCH,0.14631715575851328,True,False,No significant difference
TSLA,Tesla,Stock,QLIKE,GARCH,LSTM,647,3.6142817411834627,3.698278624177137,-0.08399688299367408,-1.8256799360374272,0.0683600000974015,GARCH,0.273440000389606,False,False,No significant difference
TSLA,Tesla,Stock,QLIKE,Random Forest,LSTM,647,3.6555593887072257,3.698278624177137,-0.0427192354699112,-1.2407719238515238,0.21514042631072458,Random Forest,0.6454212789321737,False,False,No significant difference
TSLA,Tesla,Stock,Squared_Error,Historical Variance,GARCH,647,1236.673136397669,1195.632222868379,41.04091352929028,2.6838961995568673,0.00746346471902036,GARCH,0.04478078831412216,True,True,GARCH
TSLA,Tesla,Stock,Squared_Error,Historical Variance,Random Forest,647,1236.673136397669,1371.900990726317,-135.22785432864816,-1.468444817677194,0.1424701808204199,Historical Variance,0.4274105424612597,False,False,No significant difference
TSLA,Tesla,Stock,Squared_Error,Historical Variance,LSTM,647,1236.673136397669,1221.2881672452002,15.384969152468837,0.46744457299849207,0.6403394750947577,LSTM,0.6403394750947577,False,False,No significant difference
TSLA,Tesla,Stock,Squared_Error,GARCH,Random Forest,647,1195.632222868379,1371.900990726317,-176.26876785793846,-1.9390269541426672,0.05293318000368692,GARCH,0.2646659000184346,False,False,No significant difference
TSLA,Tesla,Stock,Squared_Error,GARCH,LSTM,647,1195.632222868379,1221.2881672452002,-25.65594437682145,-1.2193810904687845,0.2231446129902985,GARCH,0.446289225980597,False,False,No significant difference
TSLA,Tesla,Stock,Squared_Error,Random Forest,LSTM,647,1371.900990726317,1221.2881672452002,150.612823481117,1.6287817988256936,0.1038467498366103,LSTM,0.4153869993464412,False,False,No significant difference
TSLA,Tesla,Stock,Absolute_Error,Historical Variance,GARCH,647,15.566080737100672,14.824033853515969,0.7420468835847022,3.786019229383583,0.0001673427306498332,GARCH,0.0006693709225993328,True,True,GARCH
TSLA,Tesla,Stock,Absolute_Error,Historical Variance,Random Forest,647,15.566080737100672,15.706857747282418,-0.14077701018174868,-0.29206552663007923,0.7703302941866427,Historical Variance,0.7703302941866427,False,False,No significant difference
TSLA,Tesla,Stock,Absolute_Error,Historical Variance,LSTM,647,15.566080737100672,13.84630617317005,1.7197745639306221,4.829953052851348,1.7070319528216018e-06,LSTM,1.0242191716929612e-05,True,True,LSTM
TSLA,Tesla,Stock,Absolute_Error,GARCH,Random Forest,647,14.824033853515969,15.706857747282418,-0.882823893766451,-1.976773189087593,0.04849211422911429,GARCH,0.09698422845822859,True,False,No significant difference
TSLA,Tesla,Stock,Absolute_Error,GARCH,LSTM,647,14.824033853515969,13.84630617317005,0.9777276803459197,4.356081211940831,1.5397584948511027e-05,LSTM,7.698792474255514e-05,True,True,LSTM
TSLA,Tesla,Stock,Absolute_Error,Random Forest,LSTM,647,15.706857747282418,13.84630617317005,1.8605515741123704,3.6340090404677317,0.000301226437609627,LSTM,0.000903679312828881,True,True,LSTM
WMT,Walmart,Stock,QLIKE,Historical Variance,GARCH,647,1.9687584969076513,1.7337850218180075,0.2349734750896436,2.606435256673675,0.009360026293412113,GARCH,0.046800131467060566,True,True,GARCH
WMT,Walmart,Stock,QLIKE,Historical Variance,Random Forest,647,1.9687584969076513,1.863368772353499,0.10538972455415228,1.0596497449936346,0.2897000064767028,Random Forest,0.5794000129534056,False,False,No significant difference
WMT,Walmart,Stock,QLIKE,Historical Variance,LSTM,647,1.9687584969076513,1.8055701776774207,0.16318831923023044,1.7140361902246704,0.08700176671304785,LSTM,0.3480070668521914,False,False,No significant difference
WMT,Walmart,Stock,QLIKE,GARCH,Random Forest,647,1.7337850218180075,1.863368772353499,-0.1295837505354913,-3.047685764742988,0.0024002455639266984,GARCH,0.01440147338356019,True,True,GARCH
WMT,Walmart,Stock,QLIKE,GARCH,LSTM,647,1.7337850218180075,1.8055701776774207,-0.07178515585941317,-1.4032283896045261,0.16102920566287224,GARCH,0.4830876169886167,False,False,No significant difference
WMT,Walmart,Stock,QLIKE,Random Forest,LSTM,647,1.863368772353499,1.8055701776774207,0.057798594676078126,0.8440893849548271,0.3989319235910962,LSTM,0.5794000129534056,False,False,No significant difference
WMT,Walmart,Stock,Squared_Error,Historical Variance,GARCH,647,35.25399928090255,34.01913942304562,1.2348598578569254,2.390191500695548,0.017125135142912872,GARCH,0.10275081085747723,True,False,No significant difference
