Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2011-06-07,2011-06-08,TSLA,Tesla,Stock,Train,-1.156491494676578,1.337472577259265,20.30459333973739
2011-06-08,2011-06-09,TSLA,Tesla,Stock,Train,-4.506061843754188,20.30459333973739,3.33739498135392
2011-06-09,2011-06-10,TSLA,Tesla,Stock,Train,1.8268538478361973,3.33739498135392,0.7485321163056076
2011-06-10,2011-06-13,TSLA,Tesla,Stock,Train,0.8651775056632064,0.7485321163056076,4.101847324208047
2011-06-13,2011-06-14,TSLA,Tesla,Stock,Train,2.025301785958835,4.101847324208047,0.3554678538811832
2011-06-14,2011-06-15,TSLA,Tesla,Stock,Train,0.5962112493749033,0.3554678538811832,20.965418611658414
2011-06-15,2011-06-16,TSLA,Tesla,Stock,Train,-4.578801001535054,20.965418611658414,9.286618182973507
2011-06-16,2011-06-17,TSLA,Tesla,Stock,Train,-3.04739531124098,9.286618182973507,0.0
2011-06-17,2011-06-20,TSLA,Tesla,Stock,Train,0.0,0.0,3.4833988156250113
2011-06-20,2011-06-21,TSLA,Tesla,Stock,Train,-1.866386566503577,3.4833988156250113,32.256801077673536
2011-06-21,2011-06-22,TSLA,Tesla,Stock,Train,5.679507115734035,32.256801077673536,1.366928871697038
2011-06-22,2011-06-23,TSLA,Tesla,Stock,Train,-1.1691573340218322,1.366928871697038,3.3155293827705132
2011-06-23,2011-06-24,TSLA,Tesla,Stock,Train,1.8208595175824285,3.3155293827705132,0.2565317704862849
2011-06-24,2011-06-27,TSLA,Tesla,Stock,Train,-0.5064896548660051,0.2565317704862849,0.1598132116401183
2011-06-27,2011-06-28,TSLA,Tesla,Stock,Train,-0.399766446366023,0.1598132116401183,5.4731513424945835
2011-06-28,2011-06-29,TSLA,Tesla,Stock,Train,2.339476724076259,5.4731513424945835,0.4074326413272575
2011-06-29,2011-06-30,TSLA,Tesla,Stock,Train,0.6383045051754355,0.4074326413272575,8.561582590254412
2011-06-30,2011-07-01,TSLA,Tesla,Stock,Train,2.926018214272497,8.561582590254412,0.1431239005651774
2011-07-01,2011-07-05,TSLA,Tesla,Stock,Train,-0.3783171957037869,0.1431239005651774,0.1702850540301179
2011-07-05,2011-07-06,TSLA,Tesla,Stock,Train,0.4126560965624014,0.1702850540301179,0.3839306647986986
2011-07-06,2011-07-07,TSLA,Tesla,Stock,Train,-0.6196213882676248,0.3839306647986986,6.885833286294971
2011-07-07,2011-07-08,TSLA,Tesla,Stock,Train,2.624087133899134,6.885833286294971,9.880890495314278
2011-07-08,2011-07-11,TSLA,Tesla,Stock,Train,-3.143388378058664,9.880890495314278,2.5907243591012863
2011-07-11,2011-07-12,TSLA,Tesla,Stock,Train,-1.609572725632889,2.5907243591012863,0.4056963272531185
2011-07-12,2011-07-13,TSLA,Tesla,Stock,Train,-0.6369429544732547,0.4056963272531185,2.73788963950292
2011-07-13,2011-07-14,TSLA,Tesla,Stock,Train,1.6546569552335977,2.73788963950292,13.414602496629884
2011-07-14,2011-07-15,TSLA,Tesla,Stock,Train,-3.662595049501089,13.414602496629884,0.0118187201005783
2011-07-15,2011-07-18,TSLA,Tesla,Stock,Train,-0.1087139370116746,0.0118187201005783,1.631225753481463
2011-07-18,2011-07-19,TSLA,Tesla,Stock,Train,-1.2771944853785828,1.631225753481463,5.735505337489823
2011-07-19,2011-07-20,TSLA,Tesla,Stock,Train,2.394891508500922,5.735505337489823,7.998025254869938
2011-07-20,2011-07-21,TSLA,Tesla,Stock,Train,2.828078014282834,7.998025254869938,0.0012121255047397
2011-07-21,2011-07-22,TSLA,Tesla,Stock,Train,0.0348155928391258,0.0012121255047397,4.140961034569619
2011-07-22,2011-07-25,TSLA,Tesla,Stock,Train,2.0349351425953652,4.140961034569619,7.669220424091611
2011-07-25,2011-07-26,TSLA,Tesla,Stock,Train,-2.7693357369758567,7.669220424091611,3.0096237092236304
2011-07-26,2011-07-27,TSLA,Tesla,Stock,Train,-1.734826708701371,3.0096237092236304,1.674574491933219
2011-07-27,2011-07-28,TSLA,Tesla,Stock,Train,-1.2940535120052876,1.674574491933219,3.6075008539432143
2011-07-28,2011-07-29,TSLA,Tesla,Stock,Train,1.899342216121996,3.6075008539432143,0.0
2011-07-29,2011-08-01,TSLA,Tesla,Stock,Train,0.0,0.0,4.441798849008386
2011-08-01,2011-08-02,TSLA,Tesla,Stock,Train,2.1075575553252124,4.441798849008386,25.99179921068593
2011-08-02,2011-08-03,TSLA,Tesla,Stock,Train,-5.0982152966195855,25.99179921068593,0.2636008290113101
2011-08-03,2011-08-04,TSLA,Tesla,Stock,Train,-0.5134207134614945,0.2636008290113101,89.09723924395591
2011-08-04,2011-08-05,TSLA,Tesla,Stock,Train,-9.439133394753776,89.09723924395591,4.335256402659781
2011-08-05,2011-08-08,TSLA,Tesla,Stock,Train,-2.0821278545420263,4.335256402659781,6.282050592087126
2011-08-08,2011-08-09,TSLA,Tesla,Stock,Train,-2.5064019214976527,6.282050592087126,34.02739293907472
2011-08-09,2011-08-10,TSLA,Tesla,Stock,Train,5.833300347065521,34.02739293907472,25.75316785937557
2011-08-10,2011-08-11,TSLA,Tesla,Stock,Train,-5.074757911405781,25.75316785937557,36.33554433665662
2011-08-11,2011-08-12,TSLA,Tesla,Stock,Train,6.027897173696364,36.33554433665662,15.322913160520274
2011-08-12,2011-08-15,TSLA,Tesla,Stock,Train,3.914449279339339,15.322913160520274,0.0927251345746084
2011-08-15,2011-08-16,TSLA,Tesla,Stock,Train,-0.3045080205423306,0.0927251345746084,0.2468763860670055
2011-08-16,2011-08-17,TSLA,Tesla,Stock,Train,-0.4968665676688314,0.2468763860670055,1.081331913003214
2011-08-17,2011-08-18,TSLA,Tesla,Stock,Train,-1.039871104033194,1.081331913003214,39.32277916876951
2011-08-18,2011-08-19,TSLA,Tesla,Stock,Train,-6.27078776301427,39.32277916876951,70.96681467550908
2011-08-19,2011-08-22,TSLA,Tesla,Stock,Train,-8.424180356302273,70.96681467550908,2.5027267056430356
2011-08-22,2011-08-23,TSLA,Tesla,Stock,Train,-1.5820008551334717,2.5027267056430356,20.238153961579076
2011-08-23,2011-08-24,TSLA,Tesla,Stock,Train,4.498683580957776,20.238153961579076,15.107599766540782
2011-08-24,2011-08-25,TSLA,Tesla,Stock,Train,3.8868495940209447,15.107599766540782,10.469478234526033
